"Registration Date","Last Name","First Name",Email,"MER ID","QB ID","Fee Type","Course Fee","Transaction Category","Amount Paid","Credit Used","Payment Mode","CC Num.","CC Exp.","Cheque Num","Transaction ID","Promo Code","Promo Value","Conference ID","Conference Title","Start Date","End Date",Venue,"Venue Region",Canceled
"2020-06-02 06:35:04",Aaab,Aaaa,subhayan.dutta+20200428_1400@orchestratec.com,1TX03919320,0,"Pricing Physician",795,"Registration PAID CC",795,0,CREDIT_CARD,1111,05-2025,,40049787324,D-ABC100,100,20200626-352-377,"Men's & Women's Health for Primary Care: Gyn/Men's Uro/Psych",2020-06-26,2020-06-28,"The Gwen, A Luxury Collection Hotel","Chicago, Illinois",
"2020-06-02 06:19:49",Aaab,Aaaa,subhayan.dutta+20200428_1400@orchestratec.com,1TX03919320,0,"Pricing Physician",1295,"Registration PAID CC",1295,0,CREDIT_CARD,1111,02-2252,,40049786817,D-ABC100,100,20200608-410-379,"Internal Medicine for Primary Care: ID/Onc/Pain/Psych",2020-06-08,2020-06-11,"Paris Marriott Opera Ambassador Hotel","Paris, France",
"2020-06-01 10:47:47",Aaan,Aaaa,subhayan.dutta+aaaaaaan@gmail.com,1TX03920520,0,"Pricing Physician",995,"Registration CREDIT USED",0,895,CREDITS,,,,62259650427,,,20200612-229-370,"Office Orthopedics for Primary Care",2020-06-12,2020-06-14,"The Sagamore Resort","Lake George, New York",
"2020-06-01 09:58:39",Aaan,Aaaa,subhayan.dutta+aaaaaaan@gmail.com,1TX03920520,0,"Pricing Physician",795,"Registration CC AND CREDIT USED",670,125,CREDITS_AND_CREDIT_CARD,1111,02-2222,,40049753933,D-ABC100,100,20200619-400-371,"Endocrinology for Primary Care",2020-06-19,2020-06-21,"Waldorf Astoria Las Vegas","Las Vegas, NV",
"2020-06-01 10:51:01",Aaan,Aaaa,subhayan.dutta+aaaaaaan@gmail.com,1TX03920520,0,"Pricing Physician",995,"Registration CREDIT USED",0,895,CREDITS,,,,62259650428,,,20200619-320-372,"Internal Medicine for Primary Care: Allergy & Immuno/Gastro/Sports Med",2020-06-19,2020-06-21,"Grand Hyatt New York","New York, New York",
"2020-06-01 10:30:45",Aaan,Aaaa,subhayan.dutta+aaaaaaan@gmail.com,1TX03920520,0,"Pricing Physician",795,"Registration PAID CC",795,0,CREDIT_CARD,1111,12-2222,,40049754496,D-ABC100,100,20200626-258-376,"Cardiology & Pulmonology for Primary Care",2020-06-26,2020-06-28,"Hotel Terra","Jackson Hole, Wyoming",
"2020-06-02 06:05:40",Aaan,Aaaa,subhayan.dutta+aaaaaaan@gmail.com,1TX03920520,0,"Pricing Physician",1195,"Registration CREDIT USED",0,1095,CREDITS,,,,62259650431,,,20200614-281-401,"Internal Medicine for Primary Care: Derm/ENT/Geri/Gyn",2020-06-14,2020-06-18,"Aulani, A Disney Resort & Spa","Oahu, Hawaii",
"2020-06-01 12:17:15",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Other",795,"Registration CREDIT USED",0,795,CREDITS,,,,62259650430,,,20200605-191-366,"Internal Medicine for Primary Care: Cardio/Pod/Pulm",2020-06-05,2020-06-07,"Disney\'s Grand Floridian Resort & Spa","Walt Disney World® Resort, Florida",
"2020-06-02 08:27:49",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Other",895,"Registration CC AND CREDIT USED",845,50,CREDITS_AND_CREDIT_CARD,1111,08-2021,,40049804956,D-CHAK100,100,20200611-307-368,"Neurology & Psychiatry for Primary Care",2020-06-11,2020-06-14,"The Westin Hilton Head Island Resort & Spa","Hilton Head Island, South Carolina",
"2020-06-01 13:28:25",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Other",795,"Registration PAID CC",795,0,CREDIT_CARD,1111,04-2022,,40049759824,D-CHAK100,100,20200619-361-374,"Internal Medicine for Primary Care: Endo/Nephro/Ophth",2020-06-19,2020-06-21,"The Ritz-Carlton, Laguna Niguel","Laguna Beach, California",
